Name,date_inscribed,danger,date_end,longitude,latitude,area_hectares,category_long,category_short,Country name,Region
Minaret and Archaeological Remains of Jam,2002,1,,64.51605556,36.39655556,70,Cultural,C,Afghanistan,Asia and the Pacific
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003,1,,67.82525,34.84694,158.9265,Cultural,C,Afghanistan,Asia and the Pacific
Natural and Cultural Heritage of the Ohrid region,1979,0,,20.70416667,40.99183333,94728.6,Mixed,C/N,Albania,Europe and North America
Butrint,1992,0,2005,20.02095,39.745732,,Cultural,C,Albania,Europe and North America
Historic Centres of Berat and Gjirokastra ,2005,0,,20.14083333,40.07416667,58.9,Cultural,C,Albania,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,2007,0,,0,0,,Natural,N,Albania,Europe and North America
Al Qal'a of Beni Hammad,1980,0,,4.78684,35.81844,150,Cultural,C,Algeria,Arab States
Tassili n'Ajjer,1982,0,,9,25.5,7200000,Mixed,C/N,Algeria,Arab States
M'Zab Valley,1982,0,,3.68333,32.48333,665.03,Cultural,C,Algeria,Arab States
Djémila,1982,0,,5.73667,36.32056,30.6,Cultural,C,Algeria,Arab States
Tipasa,1982,0,2006,2.383333333,36.55,52.16,Cultural,C,Algeria,Arab States
Timgad,1982,0,,6.468861111,35.48416667,90.54,Cultural,C,Algeria,Arab States
Kasbah of Algiers,1992,0,,3.06028,36.78333,54.7,Cultural,C,Algeria,Arab States
Madriu-Perafita-Claror Valley,2004,0,,1.595555556,42.49472222,4247,Cultural,C,Andorra,Europe and North America
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",2017,0,,14.24972222,-6.268888889,89.29,Cultural,C,Angola,Africa
Antigua Naval Dockyard and Related Archaeological Sites,2016,0,,-61.76166667,17.00694444,255,Cultural,C,Antigua and Barbuda,Latin America and the Caribbean
Los Glaciares National Park,1981,0,,-73.24944,-50,726927,Natural,N,Argentina,Latin America and the Caribbean
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",1983,0,,-54.26583333,-28.54333333,265.09,Cultural,C,Argentina,Latin America and the Caribbean
Iguazu National Park,1984,0,,-54.286073,-25.577357,55000,Natural,N,Argentina,Latin America and the Caribbean
"Cueva de las Manos, Río Pinturas",1999,0,,-70.66666667,-47.15,600,Cultural,C,Argentina,Latin America and the Caribbean
Península Valdés,1999,0,,-64,-42.5,360000,Natural,N,Argentina,Latin America and the Caribbean
Ischigualasto / Talampaya Natural Parks,2000,0,,-68,-30,275369,Natural,N,Argentina,Latin America and the Caribbean
Jesuit Block and Estancias of Córdoba,2000,0,,-64.19111,-31.42056,38.12,Cultural,C,Argentina,Latin America and the Caribbean
Quebrada de Humahuaca,2003,0,,-65.34886111,-23.19986111,172116.4375,Cultural,C,Argentina,Latin America and the Caribbean
"Qhapaq Ñan, Andean Road System",2014,0,,-69.59166667,-18.25,3642.8067,Cultural,C,Argentina,Latin America and the Caribbean
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",2016,0,,6.829336111,46.46841389,98.4838,Cultural,C,Argentina,"Asia and the Pacific,Europe and North America,Latin America and the Caribbean"
Los Alerces National Park,2017,0,,-71.8728,-42.8528,188379,Natural,N,Argentina,Latin America and the Caribbean
Monasteries of Haghpat and Sanahin,1996,0,,44.71028,41.095,2.65,Cultural,C,Armenia,Europe and North America
Monastery of Geghard and the Upper Azat Valley,2000,0,,44.79667,40.15889,2.7,Cultural,C,Armenia,Europe and North America
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,2000,0,,44.29514,40.15931,74.3,Cultural,C,Armenia,Europe and North America
Kakadu National Park,1981,0,,132.8333333,-12.83333333,1980994.92,Mixed,C/N,Australia,Asia and the Pacific
Great Barrier Reef,1981,0,,147.7,-18.28611111,34870000,Natural,N,Australia,Asia and the Pacific
Willandra Lakes Region,1981,0,,143,-34,240000,Mixed,C/N,Australia,Asia and the Pacific
Tasmanian Wilderness,1982,0,,145.4166667,-41.58333333,1584233,Mixed,C/N,Australia,Asia and the Pacific
Lord Howe Island Group,1982,0,,159.0883333,-31.56555556,146300,Natural,N,Australia,Asia and the Pacific
Gondwana Rainforests of Australia,1986,0,,150.05,-28.25,370000,Natural,N,Australia,Asia and the Pacific
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,1987,0,,131,-25.33333333,132566,Mixed,C/N,Australia,Asia and the Pacific
Wet Tropics of Queensland,1988,0,,144.9666667,-15.65,893453,Natural,N,Australia,Asia and the Pacific
"Shark Bay, Western Australia",1991,0,,113.4361111,-25.48611111,2200902,Natural,N,Australia,Asia and the Pacific
Fraser Island,1992,0,,153.1333333,-25.21666667,181851,Natural,N,Australia,Asia and the Pacific
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),1994,0,,138.7166667,-19.08333333,10326,Natural,N,Australia,Asia and the Pacific
Heard and McDonald Islands,1997,0,,73.5,-53.1,658903,Natural,N,Australia,Asia and the Pacific
Macquarie Island,1997,0,,158.8955556,-54.59472222,557280,Natural,N,Australia,Asia and the Pacific
Greater Blue Mountains Area,2000,0,,150,-33.7,1032649,Natural,N,Australia,Asia and the Pacific
Purnululu National Park,2003,0,,128.5,-17.5,239723,Natural,N,Australia,Asia and the Pacific
Royal Exhibition Building and Carlton Gardens,2004,0,,144.9702778,-37.80611111,26,Cultural,C,Australia,Asia and the Pacific
Sydney Opera House,2007,0,,151.2152778,-33.85666667,5.8,Cultural,C,Australia,Asia and the Pacific
Australian Convict Sites,2010,0,,150.9944444,-33.37833333,1502.51,Cultural,C,Australia,Asia and the Pacific
Ningaloo Coast,2011,0,,113.8102778,-22.5625,705015,Natural,N,Australia,Asia and the Pacific
Budj Bim Cultural Landscape,2019,0,,141.8852778,-38.08111111,9935,Cultural,C,Australia,Asia and the Pacific
Historic Centre of the City of Salzburg,1996,0,,13.04333333,47.80055556,236,Cultural,C,Austria,Europe and North America
Palace and Gardens of Schönbrunn,1996,0,,16.31333333,48.18666667,186.28,Cultural,C,Austria,Europe and North America
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,1997,0,,13.64638889,47.55944444,28446.2,Cultural,C,Austria,Europe and North America
Semmering Railway,1998,0,,15.82797222,47.64877778,156.18,Cultural,C,Austria,Europe and North America
City of Graz – Historic Centre and Schloss Eggenberg,1999,0,,15.39166667,47.07416667,,Cultural,C,Austria,Europe and North America
Wachau Cultural Landscape,2000,0,,15.43416667,48.36444444,18387,Cultural,C,Austria,Europe and North America
Historic Centre of Vienna,2001,1,,16.38333333,48.21666667,371,Cultural,C,Austria,Europe and North America
Fertö / Neusiedlersee Cultural Landscape,2001,0,,16.72272222,47.71927778,68369,Cultural,C,Austria,Europe and North America
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,2007,0,,0,0,,Natural,N,Austria,Europe and North America
Prehistoric Pile Dwellings around the Alps,2011,0,,8.2075,47.27833333,274.2,Cultural,C,Austria,Europe and North America
The Great Spa Towns of Europe,2021,0,,5.866944444,50.49222222,7014,Cultural,C,Austria,Europe and North America
Frontiers of the Roman Empire – The Danube Limes (Western Segment),2021,0,,16.86138889,48.11519444,,Cultural,C,Austria,Europe and North America
